Company,Product,TypeName,Inches,ScreenResolution,Name CPU,CPU Speed,Ram,Name Memory,Memory Capacity,Gpu,OpSys,Weight,Price_dollars
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,2.9GHz,16,SSD,512GB,AMD Radeon Pro 560,macOS,1.83,3050.3433999999997



Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 940MX,No OS,2.2,532.5826999999999



Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,128GB,Intel UHD Graphics 620,Windows 10,1.22,1044.8867



Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350,1.44GHz,2,SSD,32GB,Intel HD Graphics 400,Windows 10,0.98,204.81486999999998



Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.5,1066.2327



HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e,1.5GHz,4,HDD,500GB,AMD Radeon R2,No OS,1.86,275.36339999999996



Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.62,874.1186999999999



HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.91,703.3507



Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,2.3,446.81447199999997



Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.6GHz,8,SSD,128GB,Intel HD Graphics 6000,Mac OS X,1.35,1172.9626999999998



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,2.2,853.8399999999999



Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,1.9GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.88,1385.3554



HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,Nvidia GeForce 930MX,Windows 10,2.5,956.3008



Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Intel Atom x5-Z8300,1.44GHz,4,SSD,64GB,Intel HD Graphics,Windows 10,1.89,261.477827



Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,1366x768,AMD E-Series E2-6110,1.5GHz,2,SSD,32GB,AMD Radeon R2,Windows 10,1.65,212.3927



HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,AMD A6-Series 9220,2.5GHz,4,HDD,500GB,AMD Radeon 530,Windows 10,2.71,468.5447



Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.2,1994.7837



Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.6GHz,8,SSD,256GB,Intel HD Graphics 6000,Mac OS X,1.35,1065.1653999999999



Lenovo,IdeaPad 120S-14IAP,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,64GB,Intel HD Graphics 500,Windows 10,1.44,265.7577



Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U,2.7GHz,4,HDD,1024GB,Intel HD Graphics 620,Linux,2.1,391.6991



Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.8,1044.8867



HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.86,521.5788369999999



HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Nvidia GeForce 930MX ,Windows 10,2.1,938.1566999999999



Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 620,Linux,2,415.17969999999997



Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1599.8826999999999



Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Nvidia GeForce 940MX,Linux,2.3,558.187227



Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,4,SSD,256GB,Intel UHD Graphics 620,Windows 10,2.2,727.8986



Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,12,HDD,1024GB,Nvidia GeForce 150MX,Windows 10,2.77,1066.2327



Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,2.0GHz,8,SSD,256GB,Intel Iris Graphics 540,macOS,1.37,1514.4986999999999



Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,No OS,2.2,393.83369999999996



Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,3GHz,8,HDD,256GB,AMD Radeon RX 580,Windows 10,3.2,1386.4226999999998



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,AMD Radeon R5 M430,Windows 10,2.3,682.0047



Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200,1.1GHz,4,HDD,1024GB,Nvidia GeForce 920MX,Windows 10,2.8,497.36179999999996



Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5-Z8550,1.44GHz,4,SSD,64GB,Intel HD Graphics 400,Android,0.69,340.46869999999996



Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce MX150,Windows 10,2.2,897.5993



HP,255 G6,Notebook,15.6,1920x1080,AMD A6-Series 9220,2.5GHz,4,SSD,256GB,AMD Radeon R4 Graphics,Windows 10,1.86,425.30837699999995



HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.49,1177.2319



Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U,2.4GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.4,409.84319999999997



Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 520,Windows 10,2.13,819.4729399999999



HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,Windows 10,1.91,468.5447



Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,Intel HD Graphics 620,Windows 10,2,625.640587



MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.43,2613.8176999999996



Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,256GB,Intel HD Graphics 520,Linux,2,442.92949999999996



Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,AMD Radeon 530,Windows 10,2.8,1386.4226999999998



Dell,Vostro 5471,Ultrabook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.7,938.1566999999999



Lenovo,IdeaPad 520S-14IKB,Notebook,14,1920x1080,Intel Core i3 7130U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,No OS,1.7,639.3127



Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.4,1004.3292999999999



HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.86,736.4369999999999



Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,2116.4559



HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,500GB,AMD Radeon 520,Windows 10,1.86,468.21383699999996



HP,Stream 14-AX040wm,Notebook,14,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,SSD,32GB,Intel HD Graphics 400,Windows 10,1.44,244.41169999999997



Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.9,585.9476999999999



Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,1024GB,Nvidia GeForce GTX 1050 Ti,Linux,3,1012.8676999999999



Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,2.5GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10 S,1.252,1162.2896999999998



Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,1.4,1019.2715



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,2.2,928.5509999999999



MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.7,1168.6934999999999



Acer,Aspire E5-475,Notebook,14,1366x768,Intel Core i3 6006U,2GHz,8,HDD,1024GB,Intel HD Graphics 520,Windows 10,2.1,415.17969999999997



Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.2,1012.8676999999999



Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,2048GB,Intel HD Graphics 620,No OS,2.2,553.9286999999999



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,128GB,Intel UHD Graphics 620,Windows 10,2.02,912.5414999999999



Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3 7130U,2.7GHz,4,HDD,1024GB,Nvidia GeForce MX130,Windows 10,2.2,565.669



HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,Nvidia GeForce 930MX,Windows 10,2.5,1042.7521



Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.88,1169.931568



Apple,"MacBook 12""",Ultrabook,12,2304x1440,Intel Core i5,1.3GHz,8,SSD,512GB,Intel HD Graphics 615,macOS,0.92,1611.6229999999998



HP,ProBook 440,Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.63,917.8779999999999



Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A6-Series 9220,2.5GHz,4,SSD,128GB,AMD R4 Graphics,Windows 10,2.2,425.85269999999997



Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,HDD,1024GB,AMD Radeon R5,Windows 10,2.1,421.58349999999996



Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,128GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1439.7876999999999



HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce GTX 940MX,Windows 10,1.83,746.0427



HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.96,639.302027



Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.2,1546.5176999999999



Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.21,1759.9777



Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,AMD FX 9830P,3GHz,8,HDD,1024GB,AMD Radeon RX 560,Windows 10,2.45,746.0427



Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,1024GB,Nvidia GeForce MX150,Windows 10,2.2,735.3697



HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.49,1277.5581



Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,SSD,256GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1275.4234999999999



Asus,Zenbook UX430UA,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.25,1119.5976999999998



Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.5,904.0030999999999



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,HDD,1024GB,AMD Radeon R5 M430,Linux,2.2,640.2732699999999



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,256GB,AMD Radeon R5 M430,Linux,2.2,517.6405



Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,6,SSD,256GB,Nvidia GeForce 920M,Windows 10,2,615.8321



HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.62,1333.0576999999998



HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon 530,Windows 10,1.91,767.3887



HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,AMD E-Series E2-9000e,1.5GHz,4,HDD,500GB,AMD Radeon R2,Windows 10,2.1,372.48769999999996



Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,AMD Radeon 520,Linux,2.2,690.5431



HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce MX150,Windows 10,1.38,1194.3086999999998



Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10 S,1.252,1430.1819999999998



HP,Pavilion 14-BK001nv,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,6,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.58,703.3507



Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,1.85,442.82276999999993



Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.3,1273.2889



MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1386.4226999999998



Lenovo,Thinkpad T470,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.58,1579.6039999999998



Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,Nvidia GeForce MX150,Windows 10,1.5,1346.9325999999999



Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 7560U,2.4GHz,8,SSD,256GB,Intel Iris Plus Graphics 640,Windows 10,1.23,1471.8066999999999



Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.37,1493.1526999999999



HP,Probook 440,Notebook,14,1366x768,Intel Core i5 8250U,1.6GHz,4,HDD,500GB,Intel UHD Graphics 620,Windows 10,1.63,770.5906



Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.21,1738.6317



HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.26,1493.1420269999999



HP,Probook 440,Notebook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.63,1156.9532



Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,256GB,Nvidia GeForce 940MX,Windows 10,2.16,1206.4012089999999



Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Nvidia GeForce 920MX,Windows 10,2,601.9572



Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.7,1193.2413999999999



Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,6,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.1,511.2367



MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,1.8,2392.35295



Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Nvidia GeForce 940MX,No OS,2.2,671.3317



HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Nvidia GeForce 930MX ,Windows 10,2.5,1356.5383



Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon R5,Windows 10,2.1,481.35229999999996



HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics 400,No OS,1.86,276.4307



HP,Probook 440,Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,Intel UHD Graphics 620,Windows 10,1.63,866.6475999999999



Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,1366x768,AMD E-Series 6110,1.5GHz,4,SSD,64GB,AMD Radeon R2,Windows 10 S,1.65,296.69872699999996



Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U,1.8GHz,16,HDD,256GB,AMD Radeon 530,Windows 10,2.8,1489.9507999999998



HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,2.5,990.4544



Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,AMD Radeon R7 M445,Windows 10,2.36,681.994027



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,AMD Radeon R5 M430,Windows 10,2.2,479.2177



Acer,Swift 3,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.6,943.4931999999999



Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel Core i3 7130U,2.7GHz,4,SSD,256GB,Nvidia GeForce MX130,Windows 10,2.2,610.4956



HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U,2.7GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.05,638.2453999999999



HP,Probook 440,Notebook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.63,1054.4923999999999



Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,No OS,1.9,269.343828



Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,3,1001.1274



Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Nvidia GeForce 920MX,No OS,2.2,532.5826999999999



HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,Intel HD Graphics 620,Windows 10,1.32,746.0427



Acer,Aspire 5,Notebook,17.3,1920x1080,Intel Core i3 7130U,2.7GHz,4,HDD,1024GB,Nvidia GeForce MX130,Windows 10,3,699.0814999999999



Lenovo,ThinkPad E480,Notebook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,AMD Radeon RX 550,Windows 10,1.75,1191.1281459999998



Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050M,No OS,2.4,927.4836999999999



Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 6200U,2.3GHz,4,HDD,500GB,Intel HD Graphics 520,Windows 10,2.1,642.5146



HP,255 G6,Notebook,15.6,1366x768,AMD A6-Series 9220,2.5GHz,4,SSD,256GB,AMD Radeon R4 Graphics,Windows 10,1.86,393.83369999999996



Asus,ZenBook UX430UA,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.25,1172.9626999999998



HP,EliteBook Folio,Ultrabook,12.5,3840x2160,Intel Core M 6Y75,1.2GHz,8,SSD,512GB,Intel HD Graphics 515,Windows 10,0.97,2149.5422



Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,Windows 10,2,367.15119999999996



MSI,GE72MVR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.9,2165.5517



